Gene,OnsetIndex,Rank,Percentile,Phase
ENSG00000138081.20,0,1,0.0,Phase I
ENSG00000242441.8,32,3408,97.70576426727844,Phase IV
ENSG00000119737.5,3,2996,85.89045024376254,Phase II
ENSG00000068878.15,0,1,0.0,Phase I
ENSG00000115306.16,0,1,0.0,Phase I
ENSG00000143947.13,0,1,0.0,Phase I
ENSG00000138035.15,0,1,0.0,Phase I
ENSG00000028116.17,0,1,0.0,Phase I
ENSG00000162924.14,0,1,0.0,Phase I
ENSG00000162929.13,0,1,0.0,Phase I
ENSG00000082898.16,0,1,0.0,Phase I
ENSG00000173163.10,0,1,0.0,Phase I
ENSG00000197329.12,0,1,0.0,Phase I
ENSG00000138069.18,0,1,0.0,Phase I
ENSG00000138071.13,0,1,0.0,Phase I
ENSG00000221823.11,0,1,0.0,Phase I
ENSG00000196975.16,0,1,0.0,Phase I
ENSG00000135636.14,0,1,0.0,Phase I
ENSG00000144036.15,0,1,0.0,Phase I
ENSG00000163013.11,0,1,0.0,Phase I
ENSG00000124356.16,0,1,0.0,Phase I
ENSG00000204843.12,0,1,0.0,Phase I
ENSG00000114993.16,34,3415,97.9065098938916,Phase IV
ENSG00000115317.11,0,1,0.0,Phase I
ENSG00000115318.12,0,1,0.0,Phase I
ENSG00000135622.13,0,1,0.0,Phase I
ENSG00000176407.18,0,1,0.0,Phase I
ENSG00000118640.11,0,1,0.0,Phase I
ENSG00000115523.16,0,1,0.0,Phase I
ENSG00000115561.16,0,1,0.0,Phase I
ENSG00000153563.15,0,1,0.0,Phase I
ENSG00000172116.22,0,1,0.0,Phase I
ENSG00000172071.12,0,1,0.0,Phase I
ENSG00000211592.8,0,1,0.0,Phase I
ENSG00000239951.1,0,1,0.0,Phase I
ENSG00000168758.11,0,1,0.0,Phase I
ENSG00000115073.7,0,1,0.0,Phase I
ENSG00000115085.13,0,1,0.0,Phase I
ENSG00000158411.11,0,1,0.0,Phase I
ENSG00000144214.9,57,3468,99.42644106681962,Phase IV
ENSG00000144218.18,0,1,0.0,Phase I
ENSG00000170485.17,17,3246,93.05993690851734,Phase III
ENSG00000071082.11,0,1,0.0,Phase I
ENSG00000115590.14,0,1,0.0,Phase I
ENSG00000115594.12,0,1,0.0,Phase I
ENSG00000115598.10,15,3216,92.19959850874676,Phase III
ENSG00000115602.16,0,1,0.0,Phase I
ENSG00000115604.10,0,1,0.0,Phase I
ENSG00000115607.9,0,1,0.0,Phase I
ENSG00000071051.14,0,1,0.0,Phase I
ENSG00000169756.16,0,1,0.0,Phase I
ENSG00000153201.16,0,1,0.0,Phase I
ENSG00000135960.10,0,1,0.0,Phase I
ENSG00000186522.15,2,2968,85.08746773731,Phase II
ENSG00000153094.23,0,1,0.0,Phase I
ENSG00000153107.13,0,1,0.0,Phase I
ENSG00000153208.16,0,1,0.0,Phase I
ENSG00000144161.13,0,1,0.0,Phase I
ENSG00000144136.11,0,1,0.0,Phase I
ENSG00000125538.11,0,1,0.0,Phase I
ENSG00000136689.18,0,1,0.0,Phase I
ENSG00000115091.11,0,1,0.0,Phase I
ENSG00000088179.9,0,1,0.0,Phase I
ENSG00000163083.6,3,2996,85.89045024376254,Phase II
ENSG00000072163.19,27,3369,96.58732434757673,Phase IV
ENSG00000144231.11,0,1,0.0,Phase I
ENSG00000136699.19,0,1,0.0,Phase I
ENSG00000072135.13,0,1,0.0,Phase I
ENSG00000121966.6,0,1,0.0,Phase I
ENSG00000115919.15,0,1,0.0,Phase I
ENSG00000121989.15,0,1,0.0,Phase I
ENSG00000168280.17,0,1,0.0,Phase I
ENSG00000123610.5,0,1,0.0,Phase I
ENSG00000115145.10,0,1,0.0,Phase I
ENSG00000196504.16,0,1,0.0,Phase I
ENSG00000153234.14,10,3149,90.27817608259248,Phase III
ENSG00000123612.16,6,3102,88.93031258961858,Phase II
ENSG00000115170.13,0,1,0.0,Phase I
ENSG00000144283.21,0,1,0.0,Phase I
ENSG00000054219.11,0,1,0.0,Phase I
ENSG00000153246.13,4,3014,86.40665328362489,Phase II
ENSG00000136560.13,0,1,0.0,Phase I
ENSG00000115233.12,0,1,0.0,Phase I
ENSG00000197635.10,0,1,0.0,Phase I
ENSG00000115267.7,0,1,0.0,Phase I
ENSG00000115271.11,0,1,0.0,Phase I
ENSG00000198648.11,0,1,0.0,Phase I
ENSG00000077380.15,0,1,0.0,Phase I
ENSG00000091428.18,4,3014,86.40665328362489,Phase II
ENSG00000115935.17,0,1,0.0,Phase I
ENSG00000115966.17,0,1,0.0,Phase I
ENSG00000116044.16,0,1,0.0,Phase I
ENSG00000170035.16,0,1,0.0,Phase I
ENSG00000115232.14,0,1,0.0,Phase I
ENSG00000061676.15,0,1,0.0,Phase I
ENSG00000163002.13,0,1,0.0,Phase I
ENSG00000138448.12,0,1,0.0,Phase I
ENSG00000064989.13,15,3216,92.19959850874676,Phase III
ENSG00000168542.14,4,3014,86.40665328362489,Phase II
ENSG00000115415.18,0,1,0.0,Phase I
ENSG00000138378.19,0,1,0.0,Phase I
ENSG00000196950.14,0,1,0.0,Phase I
ENSG00000118997.14,14,3203,91.82678520217952,Phase III
ENSG00000138411.13,0,1,0.0,Phase I
ENSG00000144381.17,0,1,0.0,Phase I
ENSG00000003402.20,0,1,0.0,Phase I
ENSG00000003400.14,0,1,0.0,Phase I
ENSG00000064012.21,0,1,0.0,Phase I
ENSG00000116030.16,0,1,0.0,Phase I
ENSG00000204217.13,0,1,0.0,Phase I
ENSG00000138443.16,0,1,0.0,Phase I
